season,date,team_1,team_2,target_result,target_over_2_5,team_1_win_rate_pct,team_1_avg_goal_difference,team_1_avg_goals_scored,team_2_win_rate_pct,team_2_avg_goal_difference,team_2_avg_goals_scored,diff_win_rate,diff_goal_diff,diff_goals_scored,matchup_avg_goals,matchup_intensity_score,matchup_dominance
18/19,4/28/2019,Manchester United,Chelsea,D,Under,56.86,0.81,1.8,56.27,0.77,1.8,0.59,0.04,0.0,2.41,30.58,1.05
18/19,2/3/2019,Manchester City,Arsenal,W1,Over,67.4,1.37,2.24,52.83,0.67,1.81,14.57,0.7,0.43,2.77,28.05,1.41
18/19,10/7/2018,Liverpool,Manchester City,D,Under,54.79,0.81,1.9,67.4,1.37,2.24,-12.61,-0.56,-0.34,3.41,24.22,1.68
18/19,1/3/2019,Manchester City,Liverpool,W1,Over,67.4,1.37,2.24,54.79,0.81,1.9,12.61,0.56,0.34,3.41,24.22,1.68
18/19,4/24/2019,Manchester United,Manchester City,W2,Under,56.86,0.81,1.8,67.4,1.37,2.24,-10.54,-0.56,-0.44,2.68,28.32,1.41
18/19,12/5/2018,Manchester United,Arsenal,D,Over,56.86,0.81,1.8,52.83,0.67,1.81,4.03,0.14,-0.01,2.55,29.37,1.18
19/20,2/17/2020,Chelsea,Manchester United,W2,Under,56.27,0.77,1.8,56.86,0.81,1.8,-0.59,-0.04,0.0,2.41,30.58,1.05
19/20,9/30/2019,Manchester United,Arsenal,D,Under,56.86,0.81,1.8,52.83,0.67,1.81,4.03,0.14,-0.01,2.55,29.37,1.18
19/20,11/23/2019,Manchester City,Chelsea,W1,Over,67.4,1.37,2.24,56.27,0.77,1.8,11.13,0.6,0.44,2.48,28.34,1.52
19/20,8/24/2019,Liverpool,Arsenal,W1,Over,54.79,0.81,1.9,52.83,0.67,1.81,1.96,0.14,0.09,3.71,23.96,1.43
19/20,12/7/2019,Manchester City,Manchester United,W2,Over,67.4,1.37,2.24,56.86,0.81,1.8,10.54,0.56,0.44,2.68,28.32,1.41
19/20,11/10/2019,Liverpool,Manchester City,W1,Over,54.79,0.81,1.9,67.4,1.37,2.24,-12.61,-0.56,-0.34,3.41,24.22,1.68
19/20,8/11/2019,Manchester United,Chelsea,W1,Over,56.86,0.81,1.8,56.27,0.77,1.8,0.59,0.04,0.0,2.41,30.58,1.05
19/20,12/15/2019,Arsenal,Manchester City,W2,Over,52.83,0.67,1.81,67.4,1.37,2.24,-14.57,-0.7,-0.43,2.77,28.05,1.41
19/20,1/19/2020,Liverpool,Manchester United,W1,Under,54.79,0.81,1.9,56.86,0.81,1.8,-2.07,0.0,0.1,2.29,28.66,1.05
19/20,10/20/2019,Manchester United,Liverpool,D,Under,56.86,0.81,1.8,54.79,0.81,1.9,2.07,0.0,-0.1,2.29,28.66,1.05
19/20,9/22/2019,Chelsea,Liverpool,W2,Over,56.27,0.77,1.8,54.79,0.81,1.9,1.48,-0.04,-0.1,2.68,25.83,1.05
19/20,12/29/2019,Arsenal,Chelsea,W2,Over,52.83,0.67,1.81,56.27,0.77,1.8,-3.44,-0.1,0.01,2.86,28.53,1.43
19/20,3/8/2020,Manchester United,Manchester City,W1,Under,56.86,0.81,1.8,67.4,1.37,2.24,-10.54,-0.56,-0.44,2.68,28.32,1.41
19/20,7/2/2020,Manchester City,Liverpool,W1,Over,67.4,1.37,2.24,54.79,0.81,1.9,12.61,0.56,0.34,3.41,24.22,1.68
19/20,6/25/2020,Chelsea,Manchester City,W1,Over,56.27,0.77,1.8,67.4,1.37,2.24,-11.13,-0.6,-0.44,2.48,28.34,1.52
